Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-31,361 days,47.61904761904761,99599.48989942108,101009.66469712507,597.550644441373,-0.4005101005789184,3.82657599604293,-0.40051010057954306,1.29965191681543,-0.27974980035266883,-0.3081672064631914,-0.4443783634753019,-0.20174356074274286,-0.5002385142732817,0.026062049675086192,-1.98524353939733,-0.5206776042213823,260 days,63 days,15,20.0,9.21286032193044,-3.499963788834224,-0.331649242295573,50 days,11 days,0.831864419310843,-0.26099868477411164,-0.2623239100361228,-0.0416711620786375,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-27   99599.489899     0.013961              NaT
2010-12-28   99599.489899     0.013961              NaT
2010-12-29   99599.489899     0.013961              NaT
2010-12-30   99599.489899     0.013961              NaT
2010-12-31   99599.489899     0.013961         260 days

[252 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    733        30  ...                      -41318010.0                      43556840.0
1    738        42  ...                       58903570.0                     389885595.0
2    653        69  ...                      403118210.0                     628860670.0
3    669        83  ...                      638779085.0                     640727805.0
4    705       115  ...                      133418555.0                     117021525.0
5    702       137  ...                      -79571855.0                      52968210.0
6    718       146  ...                       68831360.0                      85336155.0
7    725       148  ...                      102887580.0                     115255125.0
8    793       182  ...                     -200022500.0                    -194577690.0
9    772       184  ...                     -198445645.0                    -195576675.0
10   768       186  ...                     -190251850.0                    -192376710.0
11   763       194  ...                     -179538435.0                     432466920.0
12   691       232  ...                      438726530.0                     435860435.0
13   684       234  ...                      433295115.0                     436509750.0
14   678       238  ...                      430707820.0                     422939515.0

[15 rows x 18 columns]",INTC,20,50,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-03,2011-12-30,361 days,38.492063492063494,98891.02684238186,100501.33959444998,475.2809505282894,-1.1089731576181368,20.427166579602115,-1.108973157618176,1.6739283230453779,-0.775433183344798,-0.6624973974994468,-0.8639824447904826,-0.5581064700843337,-1.8307763698973725,0.035335454355182296,-1.9870279544521363,-0.5912588153789533,226 days,55 days,12,25.0,10.821584014635736,-6.804027959567705,-1.021090555633597,43 days,10 days,0.5985765295505371,-0.9211937045705412,-0.684262472725085,-0.17060994740711555,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-03  100000.000000     0.000000              NaT
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
...                   ...          ...              ...
2011-12-23   98891.026842     0.016023              NaT
2011-12-27   98891.026842     0.016023              NaT
2011-12-28   98891.026842     0.016023              NaT
2011-12-29   98891.026842     0.016023              NaT
2011-12-30   98891.026842     0.016023         226 days

[252 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    692        22  ...                     -159488335.0                    -143237070.0
1    684        32  ...                     -130561895.0                     -93875805.0
2    679        38  ...                      -82418575.0                     -79869255.0
3    675        42  ...                      -78406050.0                     -86186095.0
4    676        78  ...                     -334963255.0                     499171540.0
5    640       129  ...                      346956275.0                     347207610.0
6    650       133  ...                      345473010.0                     346236380.0
7    634       137  ...                      352430475.0                     348927255.0
8    657       180  ...                     -321186685.0                    -317874485.0
9    650       184  ...                     -314490475.0                    -302363670.0
10   654       192  ...                     -280576945.0                     521599940.0
11   573       234  ...                      462632640.0                     450132555.0

[12 rows x 18 columns]",INTC,20,50,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-03,2013-01-02,365 days,33.067729083665334,97739.05311570209,100066.11816984299,550.4602145100222,-2.2609468842979115,-9.84983167679245,-2.2698516286069226,0.9503629637283009,-1.5665003015569168,-2.3884049728771313,-2.809277541919489,-0.9760588381146236,-2.0753308460668,0.018844589869332313,-2.325527457946508,-1.1708552721416632,328 days,165 days,14,14.285714285714285,3.0543705434801383,-7.706842728528575,-1.662498580078997,22 days,8 days,0.13931949909439947,-1.6343536211910186,-2.515927129295154,-0.8801930580225048,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-03  100000.000000     0.000000              NaT
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2012-12-26   97984.721634     0.020800              NaT
2012-12-27   97919.043808     0.021457              NaT
2012-12-28   97787.691285     0.022769              NaT
2012-12-31   97778.075138     0.022865              NaT
2013-01-02   97739.053116     0.023255         328 days

[251 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    537        24  ...                      302504285.0                     372084460.0
1    532        32  ...                      380001800.0                     376196345.0
2    524        39  ...                      389988645.0                     393131960.0
3    530        42  ...                      392587755.0                     395742015.0
4    535        44  ...                      402187385.0                     420238190.0
5    513        51  ...                      419852135.0                     417100235.0
6    513        54  ...                      421065440.0                     448467140.0
7    516        73  ...                      450888355.0                     447493880.0
8    500        85  ...                      410645290.0                     408382895.0
9    511       116  ...                      200620010.0                     358585250.0
10   531       137  ...                      359994170.0                     358046940.0
11   518       153  ...                      325219940.0                     347197530.0
12   656       237  ...                     -331057095.0                    -217895050.0
13   645       250  ...                     -208102025.0                    -208102025.0

[14 rows x 18 columns]",INTC,20,50,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-03,2014-01-02,364 days,65.87301587301587,99177.00447101389,100844.48113100698,714.5299184791847,-0.82299552898611,25.792439615434827,-0.8229955289858593,1.5378483669097798,-0.5704901434615106,-0.5351603881724846,-0.6901987239722371,-0.37072689779672635,-2.290978495713599,0.05691524293998975,-2.21995095008487,-0.6656074502526699,212 days,55 days,18,22.22222222222222,11.754023743933,-4.7714296845400925,-0.518244425116976,46 days,12 days,0.7105539481494485,-0.45396481227280044,-0.520374772611545,-0.09224282802055594,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2013-01-03  100000.000000     0.000000              NaT
2013-01-04  100000.000000     0.000000              NaT
2013-01-07  100000.000000     0.000000              NaT
2013-01-08  100000.000000     0.000000              NaT
2013-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2013-12-26   99165.709647     0.016647              NaT
2013-12-27   99126.002482     0.017041              NaT
2013-12-30   99225.277014     0.016056              NaT
2013-12-31   99268.957442     0.015623              NaT
2014-01-02   99177.004471     0.016535         212 days

[252 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    658        20  ...                     1.062628e+08                    2.031822e+08
1    632        43  ...                     2.146710e+08                    2.468247e+08
2    629        58  ...                     2.812431e+08                    2.882236e+08
3    639        61  ...                     2.874585e+08                    2.862691e+08
4    653        63  ...                     2.811246e+08                    2.799403e+08
5    629        68  ...                     2.847844e+08                    1.005121e+09
6    572       100  ...                     1.013946e+09                    1.077512e+09
7    549       112  ...                     1.080931e+09                    1.084667e+09
8    548       114  ...                     1.088671e+09                    1.094576e+09
9    568       118  ...                     1.098928e+09                    1.103451e+09
10   564       120  ...                     1.108074e+09                    1.141712e+09
11   577       130  ...                     1.149135e+09                    1.169832e+09
12   580       144  ...                     1.160000e+09                    1.154445e+09
13   582       172  ...                     1.096381e+09                    1.099984e+09
14   568       176  ...                     1.103692e+09                    1.136029e+09
15   571       197  ...                     1.125361e+09                    1.241647e+09
16   552       216  ...                     1.246604e+09                    1.312197e+09
17   534       235  ...                     1.323078e+09                    1.384111e+09

[18 rows x 18 columns]",INTC,20,50,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-03,2015-01-02,364 days,53.57142857142857,102974.18941537837,103404.03567723808,489.7765282128091,2.974189415378365,45.511074472452066,2.9741894153770154,1.768585370066854,2.049752735260224,1.681677042971688,4.213028868327738,3.305333298459532,0.5151082089354619,0.05403258953886904,-0.8998152823992522,-0.19155460280815403,127 days,17 days,12,41.66666666666667,26.101208015546067,-1.6860815826490683,2.240236909714599,68 days,16 days,5.602174331010459,2.4815145951342457,1.1055740213564516,0.3415693800551256,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-03  100000.000000     0.000000              NaT
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-26  102974.189415     0.004157              NaT
2014-12-29  102974.189415     0.004157              NaT
2014-12-30  102974.189415     0.004157              NaT
2014-12-31  102974.189415     0.004157              NaT
2015-01-02  102974.189415     0.004157          28 days

[252 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    538        43  ...                     -269037190.0                    -255511060.0
1    538        50  ...                     -255188675.0                    -242593940.0
2    520        56  ...                     -242424255.0                    -242571430.0
3    515        60  ...                     -234067925.0                    -222981395.0
4    504        65  ...                     -216737660.0                     -70823045.0
5    502        85  ...                      -66766435.0                     -58542085.0
6    498        90  ...                      -52393070.0                     -55430035.0
7    493        99  ...                      -67881480.0                     499868340.0
8    384       169  ...                      488942475.0                     506110315.0
9    384       177  ...                      508005740.0                     501539870.0
10   390       212  ...                      361160010.0                     585291185.0
11   367       238  ...                      589208120.0                     590688155.0

[12 rows x 18 columns]",INTC,20,50,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-31,360 days,37.45019920318725,98728.18312865625,100000.0,511.1952157742693,-1.271816871343748,-1.2891558716640465,-1.2768513835096917,1.2164903955344122,-0.8919796332333751,-1.0496189597524628,-1.3995556172114045,-0.6634849729189972,-1.2398937348754635,0.02476282129257039,-1.9244616466476905,-1.9244616466476905,329 days,329 days,13,30.76923076923077,8.283049611075223,-5.4939562644730895,-1.032587086797887,36 days,9 days,0.47194502499470625,-0.981869974377231,-1.0724357374043145,-0.35074232140328476,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24   98793.880834     0.012061              NaT
2015-12-28   98779.579332     0.012204              NaT
2015-12-29   98925.485311     0.010745              NaT
2015-12-30   98796.742791     0.012033              NaT
2015-12-31   98728.183129     0.012718         329 days

[251 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    380        23  ...                      -30809260.0                     -38548095.0
1    380        40  ...                      -42524470.0                     -48715000.0
2    393        72  ...                     -197387485.0                    -196393590.0
3    396        78  ...                     -195337930.0                    -188322585.0
4    385        82  ...                     -184927130.0                    -184937815.0
5    388        87  ...                     -182769255.0                    -180852430.0
6    383        91  ...                     -179359505.0                    -145238670.0
7    435       149  ...                     -411945015.0                    -404482930.0
8    439       182  ...                     -457031375.0                    -452562995.0
9    413       187  ...                     -447775995.0                    -447507410.0
10   405       189  ...                     -444040875.0                    -249459575.0
11   358       236  ...                     -293136980.0                    -259497830.0
12   362       244  ...                     -257001235.0                    -245466730.0

[13 rows x 18 columns]",INTC,20,50,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,59.12698412698413,101262.04076651491,101405.08550412052,483.35020151997725,1.2620407665149105,10.228266694159183,1.2620407665157263,1.4656399212965376,0.8793119620412071,0.8610851466158871,1.2399036512355839,1.345082577469319,0.8672955169839507,0.03859356246121132,-0.9382626670328076,-0.33575757835889175,100 days,33 days,12,41.66666666666667,9.297694053794748,-2.584181404736998,0.9944697995102558,70 days,17 days,2.265119919946163,1.056030534140061,0.9801808821735563,0.2322853130174574,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-23  101335.530860     0.000686              NaT
2016-12-27  101364.507730     0.000400              NaT
2016-12-28  101236.989868     0.001658              NaT
2016-12-29  101245.685299     0.001572              NaT
2016-12-30  101262.040767     0.001411          10 days

[252 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    414        20  ...                      -48691035.0                     -54217700.0
1    405        44  ...                     -139856030.0                      37244515.0
2    393        65  ...                       40639475.0                      43406790.0
3    392        68  ...                       50341710.0                      54469825.0
4    394        73  ...                       51954955.0                      53431595.0
5    392       100  ...                        6117885.0                     424592275.0
6    355       150  ...                      434173115.0                     436807065.0
7    358       154  ...                      436973320.0                     439053490.0
8    356       156  ...                      440929935.0                     441308435.0
9    351       160  ...                      441407640.0                     586519265.0
10   346       229  ...                      441239050.0                     439408065.0
11   355       235  ...                      444221560.0                     515342675.0

[12 rows x 18 columns]",INTC,20,50,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-03,2018-01-02,364 days,50.0,101061.91865762221,101937.03672460913,320.69571864132456,1.0619186576222128,31.62875442633606,1.0619186576208195,1.4020483518054483,0.7339789111029837,0.7574051609941723,1.3328964025830532,1.026868102561967,-0.8416815087275822,0.06018574556210597,-1.0341334539181846,-0.36843256202143493,245 days,54 days,8,25.0,21.137943471365666,-3.6582306766666353,1.0969344064029052,64 days,21 days,1.8819700650751354,1.358872290061713,0.4643256449096531,0.11584733491179722,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2017-01-03  100000.000000     0.000000              NaT
2017-01-04  100000.000000     0.000000              NaT
2017-01-05  100000.000000     0.000000              NaT
2017-01-06  100000.000000     0.000000              NaT
2017-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2017-12-26  101017.902838     0.009017              NaT
2017-12-27  101024.277445     0.008954              NaT
2017-12-28  101047.638137     0.008725              NaT
2017-12-29  101034.893748     0.008850              NaT
2018-01-02  101061.918658     0.008585          61 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0   333        24  ...                       41242640.0                      44076680.0
1   334        31  ...                       48598070.0                      71135715.0
2   334        63  ...                       41542910.0                      56389855.0
3   328        77  ...                       56875615.0                     109732240.0
4   333        97  ...                      133805030.0                     187001180.0
5   343       141  ...                       83449115.0                     248689805.0
6   320       178  ...                      226765400.0                     666918335.0
7   253       245  ...                      636577660.0                     653983150.0

[8 rows x 18 columns]",INTC,20,50,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2019-01-02,364 days,41.03585657370518,98609.04285682226,101155.55952892103,475.2373173050553,-1.3909571431777439,6.638868340670453,-1.3964599305375525,2.005080458243046,-0.9650436183852973,-0.6964607952746206,-0.89247368702996,-0.5547173014061667,-1.64135045811862,0.037716264593912585,-2.517426312461557,-0.6865352108754097,282 days,64 days,12,33.33333333333333,5.4780381355102925,-7.421226266648107,-1.2309560733813285,27 days,11 days,0.45462236688981356,-1.1651845955084847,-1.0693808777637595,-0.3991549091347059,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-26   98648.280577     0.024786              NaT
2018-12-27   98648.280577     0.024786              NaT
2018-12-28   98648.280577     0.024786              NaT
2018-12-31   98648.280577     0.024786              NaT
2019-01-02   98609.042857     0.025174         282 days

[251 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    257        30  ...                       -3254520.0                     -12932785.0
1    250        40  ...                       -6566900.0                     150994820.0
2    229        60  ...                      153336555.0                     156108585.0
3    236        63  ...                      160442090.0                     164503325.0
4    230        66  ...                      169399210.0                     204601300.0
5    215        91  ...                      197632060.0                     246066675.0
6    207       107  ...                      247494590.0                     246445565.0
7    224       141  ...                      131945470.0                     131105440.0
8    240       146  ...                      135480505.0                     150012315.0
9    244       218  ...                     -131651210.0                    -108823700.0
10   239       228  ...                     -105632770.0                     -39879520.0
11   248       250  ...                      -30609520.0                     -30609520.0

[12 rows x 18 columns]",INTC,20,50,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-03,2020-01-02,364 days,50.79365079365079,99867.0578294988,100452.55092497313,357.59592181749383,-0.13294217050120644,40.16141683528037,-0.132942170501249,1.555963240066216,-0.09205572216147706,-0.08544043141764164,-0.10913980105647018,-0.10722640759282394,-1.524838407712929,0.03465754813682249,-1.2398267692234621,-0.5788188640629799,162 days,67 days,9,55.55555555555556,4.774965974296105,-4.968380840197625,-0.18649857674277737,51 days,20 days,0.8789482628412936,-0.1471755748575203,-0.15045901513323373,-0.07752357374939389,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-03  100000.000000     0.000000              NaT
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-26   99816.067480     0.006336              NaT
2019-12-27   99860.330758     0.005896              NaT
2019-12-30   99782.017274     0.006675              NaT
2019-12-31   99821.172544     0.006285              NaT
2020-01-02   99867.057829     0.005829         162 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0   230        23  ...                      151044330.0                     149791880.0
1   216        36  ...                      146248430.0                     252403305.0
2   214        57  ...                      252047080.0                     251929900.0
3   207        63  ...                      257411545.0                     297331415.0
4   243       110  ...                      -63566205.0                     133578825.0
5   225       170  ...                       40860245.0                     106622850.0
6   201       207  ...                       73634095.0                     151353230.0
7   193       240  ...                      157121825.0                     156085200.0
8   193       244  ...                      157921890.0                     190715690.0

[9 rows x 18 columns]",INTC,20,50,2014-01-03,2019-01-02,2019-01-03,2020-01-02
