Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-30,360 days,30.864197530864196,98953.13203727247,100009.24276828453,422.2732595681669,-1.046867962727527,-5.2797198324462356,-1.0854296721901968,1.3908300377060965,-0.733963554908712,-0.780418629712946,-1.07013129365045,-0.47778102149928625,-0.9196278725452364,0.02409978071191268,-2.27181412267925,-1.1739402182129877,330 days,166 days,11,18.181818181818183,5.977681819714905,-6.278398041321139,-1.0562097575362528,40 days,9 days,0.5108723478575871,-0.9916223295028876,-0.857085326170679,-0.1714993961745082,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-24   99059.403961     0.009498              NaT
2010-12-27   99110.730316     0.008984              NaT
2010-12-28   98973.867706     0.010353              NaT
2010-12-29   98939.651458     0.010695              NaT
2010-12-30   98953.132037     0.010560         330 days

[243 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0     11        20  ...                    -8.322600e+07                   -3.708500e+07
1     11        34  ...                    -1.055910e+08                   -1.268450e+08
2     11        57  ...                    -8.555850e+08                   -7.552380e+08
3     12       114  ...                    -1.033648e+10                   -1.029219e+10
4     13       139  ...                    -1.157324e+10                   -1.154773e+10
5     13       145  ...                    -1.151451e+10                   -1.152026e+10
6     13       174  ...                    -1.376753e+10                   -1.307197e+10
7     14       187  ...                    -1.292492e+10                   -1.293900e+10
8     14       205  ...                    -1.351888e+10                   -8.967649e+09
9     13       233  ...                    -8.917334e+09                   -8.867268e+09
10    13       235  ...                    -8.810603e+09                   -8.104933e+09

[11 rows x 18 columns]",2914.T,20,50,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-04,2011-12-30,360 days,30.20408163265306,98884.46638044486,100645.26316863252,413.74259661746134,-1.1155336195551353,21.95465505288571,-1.147222491674249,1.504654965866814,-0.7821865267740091,-0.7624488787788951,-1.0430546488247263,-0.653488898057096,-1.6225031181843836,0.023091663130576614,-1.75553478427114,-0.5495324305476901,234 days,66 days,11,18.181818181818183,5.914528322767519,-5.632497204236032,-1.1678266216779032,20 days,9 days,0.45040957441205615,-1.1141067040015173,-1.0265501570233084,-0.2091966553707827,"OBVStrategy(n_fast=20,n_slow=50)","                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2011-01-04  100000.00000     0.000000              NaT
2011-01-05  100000.00000     0.000000              NaT
2011-01-06  100000.00000     0.000000              NaT
2011-01-07  100000.00000     0.000000              NaT
2011-01-11  100000.00000     0.000000              NaT
...                  ...          ...              ...
2011-12-26   98884.46638     0.017495              NaT
2011-12-27   98884.46638     0.017495              NaT
2011-12-28   98884.46638     0.017495              NaT
2011-12-29   98884.46638     0.017495              NaT
2011-12-30   98884.46638     0.017495         234 days

[245 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0     11        23  ...                     1.350406e+09                    2.296442e+09
1     12        75  ...                    -2.187232e+09                   -1.450728e+09
2     11        87  ...                    -1.436464e+09                   -1.459665e+09
3     11       106  ...                    -1.633400e+09                   -1.576218e+09
4     12       110  ...                    -1.566315e+09                   -1.594763e+09
5     11       122  ...                    -1.680082e+09                   -1.233813e+09
6     11       138  ...                    -1.041799e+09                    4.178700e+08
7     10       149  ...                     4.627530e+08                    4.474680e+08
8      9       202  ...                    -4.256184e+09                   -3.720779e+09
9      9       212  ...                    -3.683745e+09                   -3.661878e+09
10     9       214  ...                    -3.588843e+09                   -3.412052e+09

[11 rows x 18 columns]",2914.T,20,50,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-04,2012-12-28,359 days,52.41935483870967,99358.60259583332,101132.9830322002,445.20847319411445,-0.6413974041666807,32.453758842119754,-0.6517087406768485,1.508145841459892,-0.4506603652860264,-0.43212580823482655,-0.5844314701941438,-0.3138336500499257,-1.5726526112221917,0.0286948335194656,-2.076605681300181,-0.46538797812344196,268 days,53 days,12,50.0,5.534703224503913,-5.152372347630318,-0.6299519071327864,46 days,15 days,0.555687131953759,-0.5898162781602991,-0.6925634179605974,-0.3959277654133744,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-10  100000.000000     0.000000              NaT
2012-01-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2012-12-21   99164.491973     0.019464              NaT
2012-12-25   99222.568389     0.018890              NaT
2012-12-26   99311.615020     0.018010              NaT
2012-12-27   99315.487578     0.017971              NaT
2012-12-28   99358.602596     0.017545         268 days

[248 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0      8        27  ...                     6.767430e+08                    1.736693e+09
1      8        46  ...                     1.984966e+09                    4.396547e+09
2      8        78  ...                     4.421755e+09                    4.443456e+09
3      8       100  ...                     2.633472e+09                    2.721404e+09
4      8       110  ...                     2.891630e+09                    3.368066e+09
5      7       116  ...                     3.397531e+09                    3.244851e+09
6      7       125  ...                     3.228347e+09                    3.402241e+09
7      7       140  ...                     3.384033e+09                    3.391489e+09
8      7       182  ...                     3.373738e+09                    3.380237e+09
9      7       195  ...                     3.382498e+09                    3.384243e+09
10     7       199  ...                     3.384179e+09                    3.383708e+09
11     7       224  ...                     3.375858e+09                    3.405460e+09

[12 rows x 18 columns]",2914.T,20,50,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-04,2013-12-30,360 days,37.95918367346939,98937.56476047661,100813.61243930267,530.0398722438784,-1.0624352395233874,39.1645418799296,-1.0926240985904112,1.6396115507623532,-0.7448953648644063,-0.6663920476056571,-0.9148271220419661,-0.4951565467572824,-2.221470334730168,0.0295939908798153,-2.2066235531891243,-1.005228744525144,229 days,108 days,15,33.33333333333333,8.112333179206162,-6.811743563947053,-1.033169721691296,41 days,8 days,0.5009703786260651,-0.9685045766336161,-0.8256736616301933,-0.2548173210443819,"OBVStrategy(n_fast=20,n_slow=50)","                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2013-01-04  100000.00000     0.000000              NaT
2013-01-07  100000.00000     0.000000              NaT
2013-01-08  100000.00000     0.000000              NaT
2013-01-09  100000.00000     0.000000              NaT
2013-01-10  100000.00000     0.000000              NaT
...                  ...          ...              ...
2013-12-24   98937.56476     0.018609              NaT
2013-12-25   98937.56476     0.018609              NaT
2013-12-26   98937.56476     0.018609              NaT
2013-12-27   98937.56476     0.018609              NaT
2013-12-30   98937.56476     0.018609         229 days

[245 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0      5        23  ...                       25531625.0                      26006060.0
1      5        66  ...                      -23139345.0                      70812545.0
2      4        93  ...                       71877885.0                      73104170.0
3      4        98  ...                       74022470.0                      73450670.0
4      5       114  ...                       66530730.0                      66236130.0
5      4       125  ...                       63911905.0                      65785220.0
6      4       133  ...                       66016365.0                      72239465.0
7      5       141  ...                       72226660.0                      72520650.0
8      4       144  ...                       73300100.0                      74015455.0
9      5       152  ...                       74326080.0                      74187530.0
10     5       161  ...                       73580415.0                      73611655.0
11     4       174  ...                       72608290.0                      77448040.0
12     5       193  ...                       77138885.0                      76962895.0
13     5       207  ...                       71885385.0                      72558735.0
14     4       211  ...                       72651465.0                      78972340.0

[15 rows x 18 columns]",2914.T,20,50,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-06,2014-12-30,358 days,37.704918032786885,99781.87227607347,100678.84585022701,355.551828988535,-0.21812772392653276,1.5904538346957937,-0.22527139122131556,0.9664196497843041,-0.15359204989769948,-0.2330989350967709,-0.3311255280340819,-0.25285096824217884,-0.24144339491656022,0.014659759674500106,-0.890925562940903,-0.41356612707516377,188 days,50 days,10,30.0,9.939623646339388,-5.753611911018548,-0.36148908584664463,50 days,13 days,0.7766030995064646,-0.29349615075947766,-0.1833644124349409,-0.06702821539824749,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
2014-01-10  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-24   99781.872276     0.008909              NaT
2014-12-25   99781.872276     0.008909              NaT
2014-12-26   99781.872276     0.008909              NaT
2014-12-29   99781.872276     0.008909              NaT
2014-12-30   99781.872276     0.008909         188 days

[244 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0     5        36  ...                      -30910180.0                     -31080795.0
1     5        58  ...                      -51288460.0                      -9807920.0
2     5        93  ...                       -7901145.0                      14739205.0
3     4       116  ...                       15932580.0                      16340810.0
4     4       121  ...                       16311365.0                      16562480.0
5     4       123  ...                       16572610.0                      16653265.0
6     4       132  ...                       15150300.0                      15662085.0
7     4       168  ...                        2394545.0                       3705720.0
8     4       173  ...                        3735130.0                       3100900.0
9     4       208  ...                      -23412070.0                      -7690585.0

[10 rows x 18 columns]",2914.T,20,50,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-30,359 days,44.67213114754098,101871.73100142895,102422.825553912,243.6146404748187,1.8717310014289543,41.843489773875476,1.9336888385424356,1.6197083234271281,1.3102258636377595,1.1938500349562682,2.00417386159938,2.5686856229341655,0.682872616500916,0.028412027566359657,-0.7527931099383101,-0.26789940087034814,98 days,25 days,7,71.42857142857143,9.724655035590297,-3.0673764693010526,2.892753377283608,37 days,22 days,4.970707987651208,2.989937968171648,1.6916417597062499,0.580303311983529,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24  101871.731001     0.005381              NaT
2015-12-25  101871.731001     0.005381              NaT
2015-12-28  101871.731001     0.005381              NaT
2015-12-29  101871.731001     0.005381              NaT
2015-12-30  101871.731001     0.005381          36 days

[244 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0     4        24  ...                       12713645.0                      58498910.0
1     4        67  ...                       44488355.0                      67550155.0
2     3        86  ...                       68559150.0                      78820860.0
3     3       131  ...                       62907760.0                      95550910.0
4     4       201  ...                       73076635.0                      83791845.0
5     3       215  ...                       84397875.0                      88450245.0
6     3       235  ...                       88779160.0                      87635985.0

[7 rows x 18 columns]",2914.T,20,50,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,33.06122448979592,98635.21942368148,100112.5809511398,347.43241140173507,-1.364780576318517,-8.243300461533845,-1.4034993973582988,1.1540424343736684,-0.9546746786986415,-1.2161592637796008,-1.4893650893198442,-0.8160142105708387,-1.2080433204432197,0.0190138957819976,-1.7199447989716843,-1.7199447989716843,332 days,332 days,10,40.0,2.2045813235075578,-10.02928132956144,-1.5635696865841764,26 days,11 days,0.24294394222221954,-1.507209567885983,-1.4698286084845535,-1.414449668661327,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-26   98729.506450     0.013815              NaT
2016-12-27   98697.335552     0.014137              NaT
2016-12-28   98654.545513     0.014564              NaT
2016-12-29   98635.219424     0.014757              NaT
2016-12-30   98635.219424     0.014757         332 days

[245 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0     3        20  ...                       -6319640.0                      -5509030.0
1     3        56  ...                      -16372840.0                     -15620290.0
2     3        71  ...                      -15527935.0                     -15483305.0
3     3       115  ...                      -34143655.0                     -29557615.0
4     3       123  ...                      -29117875.0                     -23115850.0
5     4       163  ...                      -41927395.0                     -38048730.0
6     3       177  ...                      -36356220.0                     -28589425.0
7     4       220  ...                      -44128365.0                     -43294370.0
8     4       234  ...                      -44454055.0                     -43018110.0
9     4       240  ...                      -42986670.0                     -44443020.0

[10 rows x 18 columns]",2914.T,20,50,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-04,2018-01-02,363 days,37.254901960784316,101147.27244857866,101338.40197066752,191.67610389542645,1.1472724485786603,-2.2469117493864,1.133698905364966,0.7929675221190629,0.7950634765874209,1.4296914737886868,2.529458434435625,2.4924692772621704,1.2296673354664869,0.03667028173684506,-0.45484970094005206,-0.25974178860482366,148 days,61 days,5,40.0,11.879700004165795,-0.8706388572732765,2.390051525386583,56 days,26 days,7.049158091807421,2.5014569068651697,1.0254278791130966,0.341292981369468,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2017-01-04  100000.000000     0.000000              NaT
2017-01-05  100000.000000     0.000000              NaT
2017-01-06  100000.000000     0.000000              NaT
2017-01-10  100000.000000     0.000000              NaT
2017-01-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2017-12-27  101147.272449     0.001886              NaT
2017-12-28  101147.272449     0.001886              NaT
2017-12-29  101147.272449     0.001886              NaT
2018-01-01  101147.272449     0.001886              NaT
2018-01-02  101147.272449     0.001886          74 days

[255 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0     4        34  ...                      -21346045.0                      -7680360.0
1     4        47  ...                       -6803235.0                      -5039300.0
2     4        69  ...                      -10393825.0                      54999735.0
3     4       177  ...                       18228935.0                      28657705.0
4     4       196  ...                       29361070.0                      51199140.0

[5 rows x 18 columns]",2914.T,20,50,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2018-12-31,362 days,19.69111969111969,98891.17332302511,100000.0,207.96481098240042,-1.108826676974888,-23.99131654598183,-1.079020663227126,0.5959481733413161,-0.7731970904855889,-1.8105947991708011,-2.2334689360519757,-0.9731193212007898,-0.8414925212314724,0.011142954794958505,-1.1088266769748834,-1.1088266769748834,272 days,272 days,6,0.0,-1.1914058468099709,-3.7277099143383072,-2.12338675970678,22 days,11 days,0.0,-2.1190624863507637,-5.260857873833501,,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-25   98891.173323     0.011088              NaT
2018-12-26   98891.173323     0.011088              NaT
2018-12-27   98891.173323     0.011088              NaT
2018-12-28   98891.173323     0.011088              NaT
2018-12-31   98891.173323     0.011088         272 days

[259 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0     5        65  ...                     -123635185.0                    -122341595.0
1     5        74  ...                     -121362165.0                    -119489150.0
2     4       118  ...                     -153829170.0                    -118256165.0
3     4       148  ...                     -121419085.0                    -116112910.0
4     4       161  ...                     -113999725.0                    -112866240.0
5     4       192  ...                     -142145295.0                    -134956865.0

[6 rows x 18 columns]",2914.T,20,50,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-04,2019-12-30,360 days,36.92946058091287,98979.2658074784,100124.27228472456,456.89308465417037,-1.0207341925216022,0.04818402058246917,-1.0670742780516052,0.7180150197586449,-0.7156127954955016,-1.4861447862334325,-1.856776074935812,-0.7941479646208355,-1.0220814052636635,0.027959741129434754,-1.3436718666918424,-0.8719246767023847,312 days,164 days,13,15.384615384615385,4.908512800553483,-3.0502015601376007,-0.8880380782059216,63 days,9 days,0.3263421805871897,-0.8705979007247397,-1.6775319138214781,-0.3383419051231277,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
2019-01-10  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-24   98979.265807     0.011436              NaT
2019-12-25   98979.265807     0.011436              NaT
2019-12-26   98979.265807     0.011436              NaT
2019-12-27   98979.265807     0.011436              NaT
2019-12-30   98979.265807     0.011436         312 days

[241 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0      5        22  ...                       27796485.0                      30734560.0
1      5        26  ...                       31669940.0                      43442580.0
2      5        96  ...                      -26012760.0                     -26411175.0
3      5       104  ...                      -22659110.0                     -22895865.0
4      5       112  ...                      -21892955.0                     -23602075.0
5      5       122  ...                      -24572980.0                     -25465140.0
6      5       129  ...                      -25369800.0                     -25711465.0
7      5       137  ...                      -25156325.0                     -24831670.0
8      5       171  ...                      -71405740.0                     -71491880.0
9      5       175  ...                      -70319475.0                     -20558545.0
10     5       220  ...                      -18611805.0                     -17454155.0
11     5       223  ...                      -17263310.0                     -17167060.0
12     5       226  ...                      -17504925.0                     -18024990.0

[13 rows x 18 columns]",2914.T,20,50,2014-01-03,2019-01-02,2019-01-03,2020-01-02
