Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-30,360 days,48.971193415637856,97465.18468557138,100000.0,781.9448503017292,-2.5348153144286187,-3.646437077453867,-2.6274532589806276,1.1334030514961058,-1.7811924772048071,-2.3181985045058395,-2.957609136320902,-1.0365462304195094,-2.3820019263882397,0.041907589461842906,-2.534815314428618,-2.534815314428618,328 days,328 days,20,15.0,2.4359879797997275,-3.1308508901292704,-1.2942649074468515,25 days,7 days,0.09480720088905141,-1.286330114375013,-4.470894963640446,-1.4490717855922985,"FixedSmaStrategy(n_fast=8,n_slow=8)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-24   97465.184686     0.025348              NaT
2010-12-27   97465.184686     0.025348              NaT
2010-12-28   97465.184686     0.025348              NaT
2010-12-29   97465.184686     0.025348              NaT
2010-12-30   97465.184686     0.025348         328 days

[243 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ...  Duration   Tag Entry__calculat…(C,20)  Exit__calculat…(C,20)
0    408        24       26   24.437788  ...    2 days  None              23.927146              23.954502
1    414        28       29   24.012256  ...    1 days  None              23.919548              23.908909
2    406        30       33   24.468188  ...    5 days  None              23.911949              23.896751
3    408        34       36   24.285812  ...    2 days  None              23.895232              23.919549
4    412        44       46   24.012256  ...    2 days  None              23.864838              23.842042
5    418        53       54   23.617115  ...    1 days  None              23.691585              23.664229
6    415        57       72   23.738697  ...   21 days  None              23.662780              24.130097
7    407        78       79   24.232610  ...    1 days  None              24.255761              24.215631
8    412        89       94   23.862176  ...    7 days  None              23.647632              23.551937
9    432       113      117   22.689133  ...    4 days  None              22.642827              22.576457
10   439       120      121   22.287826  ...    1 days  None              22.522435              22.477675
11   432       123      133   22.627392  ...   16 days  None              22.486936              22.749327
12   428       146      156   22.843477  ...   14 days  None              22.621217              22.673696
13   432       162      163   22.596520  ...    1 days  None              22.718457              22.733892
14   427       166      182   22.812612  ...   25 days  None              22.726175              23.127237
15   419       185      188   23.205598  ...    6 days  None              23.192066              23.230972
16   419       193      194   23.236956  ...    1 days  None              23.268926              23.242148
17   420       206      224   23.174239  ...   25 days  None              23.023715              23.886084
18   404       229      231   24.115005  ...    4 days  None              23.929987              23.886084
19   409       233      234   23.770055  ...    1 days  None              23.900196              23.868837

[20 rows x 16 columns]",9432.T,8,8,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-04,2011-12-30,360 days,51.02040816326531,99647.40865926226,100394.92572066281,437.480681299441,-0.35259134073773746,7.400624643495311,-0.36264709062603373,1.175703983203843,-0.24694467505441686,-0.3084510181192081,-0.44531040526959065,-0.4295053197809592,-0.6438059407372283,0.03935000274003228,-0.8443366680789377,-0.41610918680262904,200 days,53 days,11,27.27272727272727,4.474887643655469,-2.792003515202347,-0.3406933004546753,40 days,16 days,0.6885238468539759,-0.32009239179782895,-0.5002336801413942,-0.12458185685826745,"FixedSmaStrategy(n_fast=8,n_slow=8)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
2011-01-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2011-12-26   99667.218895     0.007248              NaT
2011-12-27   99590.820885     0.008009              NaT
2011-12-28   99616.287636     0.007756              NaT
2011-12-29   99667.218895     0.007248              NaT
2011-12-30   99647.408659     0.007446          51 days

[245 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ...  Duration   Tag Entry__calculat…(C,20)  Exit__calculat…(C,20)
0    416        64       72   23.934517  ...   12 days  None              23.720640              23.799429
1    416        80      101   23.902649  ...   32 days  None              23.837315              24.283500
2    410       105      110   24.285091  ...    7 days  None              24.283500              24.315370
3    412       115      116   24.125740  ...    1 days  None              24.265972              24.259598
4    402       120      137   24.699403  ...   26 days  None              24.248442              24.665942
5    403       138      140   24.635664  ...    2 days  None              24.697812              24.662755
6    434       166      180   22.850928  ...   22 days  None              22.891061              23.168969
7    420       181      187   23.646458  ...    8 days  None              23.239721              23.567169
8    414       188      214   23.938798  ...   40 days  None              23.615764              25.483288
9    392       215      216   25.432943  ...    1 days  None              25.514146              25.523890
10   392       231      244   25.367979  ...   18 days  None              24.950595              25.189333

[11 rows x 16 columns]",9432.T,8,8,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-04,2012-12-28,359 days,39.11290322580645,99504.03159162527,101012.2459513916,358.7557105275463,-0.495968408374727,-1.3916014670498318,-0.5039477085331145,1.028937184429321,-0.3484028289099217,-0.4897749990565448,-0.703437789487807,-0.33751760518229207,-0.4475413671599891,0.03479950428437123,-1.4931005103005934,-0.37687731617502085,177 days,49 days,9,11.11111111111111,6.665482923996169,-2.436731424562398,-0.5851582116919052,35 days,15 days,0.5729616678580169,-0.5519889744157178,-0.5977465910204304,-0.08301231094155234,"FixedSmaStrategy(n_fast=8,n_slow=8)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-10  100000.000000     0.000000              NaT
2012-01-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2012-12-21   99504.031592     0.014931              NaT
2012-12-25   99504.031592     0.014931              NaT
2012-12-26   99504.031592     0.014931              NaT
2012-12-27   99504.031592     0.014931              NaT
2012-12-28   99504.031592     0.014931         177 days

[248 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Duration   Tag Entry__calculat…(C,20)  Exit__calculat…(C,20)
0   402        39       54   24.815801  ...   22 days  None              24.594924              24.926234
1   409        76       77   24.350203  ...    1 days  None              24.356999              24.325388
2   444       113      137   22.431298  ...   35 days  None              22.254297              24.470054
3   406       148      164   24.681044  ...   22 days  None              24.264722              24.809970
4   393       180      196   25.441988  ...   25 days  None              24.144745              25.469468
5   384       197      202   25.987664  ...    7 days  None              25.567813              25.791657
6   398       215      216   25.075223  ...    1 days  None              25.093808              25.027910
7   400       221      230   24.872451  ...   14 days  None              24.711935              24.815007
8   400       237      238   24.838663  ...    1 days  None              24.813317              24.813317

[9 rows x 16 columns]",9432.T,8,8,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-04,2013-12-30,360 days,51.02040816326531,100674.10543843,103025.63289637482,484.4950196305917,0.6741054384299932,51.589717559104585,0.6934322201917142,2.077309815772008,0.4713980562553566,0.33381261424117825,0.47091060962196,0.22948118644461665,-2.095058282287374,0.05367665984107841,-3.02173886641931,-0.9516566346878974,229 days,62 days,12,25.0,17.21175962362841,-4.2237849671109835,0.4252394614663979,50 days,15 days,1.3612673582266397,0.5800160711873115,0.32309890239335454,0.06452026338728167,"FixedSmaStrategy(n_fast=8,n_slow=8)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2013-01-04  100000.000000     0.000000              NaT
2013-01-07  100000.000000     0.000000              NaT
2013-01-08  100000.000000     0.000000              NaT
2013-01-09  100000.000000     0.000000              NaT
2013-01-10  100000.000000     0.000000              NaT
...                   ...          ...              ...
2013-12-24  100409.069993     0.025397              NaT
2013-12-25  100389.968407     0.025583              NaT
2013-12-26  100466.370583     0.024841              NaT
2013-12-27  100523.671174     0.024285              NaT
2013-12-30  100674.105438     0.022825         229 days

[245 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ...  Duration   Tag Entry__calculat…(C,20)  Exit__calculat…(C,20)
0    340        63       96   29.284112  ...   50 days  None              28.378297              35.402765
1    288        98       99   35.140938  ...    1 days  None              35.602587              35.671490
2    293       113      116   34.589703  ...    5 days  None              34.563862              34.470843
3    288       119      139   35.140930  ...   31 days  None              34.415719              35.838584
4    282       144      147   35.829967  ...    3 days  None              35.664602              35.585361
5    280       151      153   35.967785  ...    2 days  None              35.509567              35.397598
6    285       159      162   35.140932  ...    3 days  None              35.035852              35.092698
7    286       166      176   35.072030  ...   15 days  None              34.908381              35.494065
8    277       177      183   36.174503  ...   11 days  None              35.569860              35.921773
9    273       191      201   36.731019  ...   17 days  None              35.973609              36.202791
10   271       211      220   36.870944  ...   13 days  None              36.248269              36.234276
11   273       231      244   36.451164  ...   20 days  None              36.335723              37.532104

[12 rows x 16 columns]",9432.T,8,8,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-06,2014-12-30,358 days,59.42622950819673,100652.24635129841,102193.25306883862,524.3996915562694,0.6522463512984104,19.35152937290158,0.6737033550570537,1.8950805605130256,0.4586810378955031,0.35550116923508124,0.5453482567831929,0.44677246810817206,-0.3340075425563803,0.050965165328786165,-1.5079339107662681,-0.3436136104753114,154 days,21 days,13,23.076923076923077,20.213260354373723,-3.901740051838597,0.3645760913238094,101 days,15 days,1.4430484323085901,0.5169925870713391,0.29979252702173537,0.06919421087640334,"FixedSmaStrategy(n_fast=8,n_slow=8)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
2014-01-10  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-24  100652.246351     0.015079              NaT
2014-12-25  100652.246351     0.015079              NaT
2014-12-26  100652.246351     0.015079              NaT
2014-12-29  100652.246351     0.015079              NaT
2014-12-30  100652.246351     0.015079         154 days

[244 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ...  Duration   Tag Entry__calculat…(C,20)  Exit__calculat…(C,20)
0    250        25       29   39.879386  ...    6 days  None              38.928232              38.708545
1    251        30       49   39.529574  ...   27 days  None              38.665868              40.413916
2    258        75       76   38.517427  ...    1 days  None              38.266693              38.264203
3    254        77      146   39.122038  ...  101 days  None              38.255667              47.984609
4    209       147      148   48.475768  ...    3 days  None              48.056807              48.113000
5    210       152      154   48.198356  ...    4 days  None              48.064632              48.012351
6    205       155      176   49.215524  ...   30 days  None              48.036180              49.439239
7    204       182      183   49.407561  ...    1 days  None              49.284653              49.276026
8    219       201      202   46.020016  ...    1 days  None              46.116240              45.983621
9    217       203      212   46.373180  ...   14 days  None              45.835506              46.813207
10   211       213      215   47.713786  ...    4 days  None              46.987989              47.213945
11   210       216      217   47.930010  ...    1 days  None              47.330346              47.336473
12   218       231      232   46.099296  ...    1 days  None              46.118762              46.017136

[13 rows x 16 columns]",9432.T,8,8,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-30,359 days,63.52459016393443,100465.17784050053,101248.37531099275,600.3105896086373,0.4651778405005316,42.34227037781406,0.48046615507233437,1.8034127539659557,0.3263056127783326,0.2664205152235518,0.4122043927826552,0.41804125637381606,-1.0749062299602186,0.03637226007766704,-1.1493271244087389,-0.4335411167814917,89 days,29 days,15,33.33333333333333,8.146970653022773,-4.78399446336284,0.24415540973701244,41 days,14 days,1.2556700253651645,0.31509597942497325,0.30469893681732274,0.0671222935419955,"FixedSmaStrategy(n_fast=8,n_slow=8)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24  100263.452617     0.009728              NaT
2015-12-25  100263.452617     0.009728              NaT
2015-12-28  100308.590076     0.009282              NaT
2015-12-29  100402.956348     0.008350              NaT
2015-12-30  100465.177841     0.007735          49 days

[244 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ...  Duration   Tag Entry__calculat…(C,20)  Exit__calculat…(C,20)
0    182        47       49   54.705087  ...    4 days  None              53.449891              53.561968
1    185        50       51   53.587915  ...    1 days  None              53.635485              53.697110
2    182        55       61   54.431211  ...    8 days  None              53.884866              53.851017
3    182        62       87   54.519082  ...   41 days  None              53.870136              59.559210
4    161        89      113   61.922988  ...   32 days  None              59.797741              63.142995
5    157       115      125   63.804972  ...   14 days  None              63.203540              64.221123
6    154       126      127   64.928327  ...    1 days  None              64.237535              64.237901
7    152       129      156   65.650492  ...   38 days  None              64.386707              70.805866
8    150       171      172   66.883249  ...    1 days  None              67.606501              67.346453
9    156       187      189   64.068612  ...    2 days  None              63.714532              63.461913
10   156       190      192   63.773426  ...    2 days  None              63.128147              62.704692
11   157       193      220   63.419221  ...   41 days  None              62.761962              68.704395
12   144       221      223   69.485153  ...    4 days  None              68.794425              68.989981
13   143       225      227   69.736044  ...    4 days  None              69.363382              69.440129
14   139       235      243   71.728501  ...   13 days  None              68.805495              69.458576

[15 rows x 16 columns]",9432.T,8,8,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,50.204081632653065,98310.59444639228,100027.96620202182,546.8091099722195,-1.6894055536077213,-6.402235443420265,-1.7372525935776095,1.4895771077378235,-1.1823381115180553,-1.1662723497516174,-1.5580304549523356,-0.6553217273885703,-1.5093500853716506,0.028123843589838306,-2.650991903626465,-1.5774400396756094,276 days,151 days,14,21.428571428571427,7.697796421790022,-4.220596598425036,-1.261664390259054,34 days,12 days,0.37954204018141086,-1.2179914612284102,-1.488568107191441,-0.3565375904240994,"FixedSmaStrategy(n_fast=8,n_slow=8)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-26   98365.743705     0.016618              NaT
2016-12-27   98325.225783     0.017023              NaT
2016-12-28   98329.490035     0.016980              NaT
2016-12-29   98303.895919     0.017236              NaT
2016-12-30   98310.594446     0.017169         276 days

[245 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ...  Duration   Tag Entry__calculat…(C,20)  Exit__calculat…(C,20)
0    139        42       43   71.536637  ...    3 days  None              71.549921              71.208989
1    137        46       62   72.230298  ...   25 days  None              70.577305              72.247042
2    134        70       90   73.856190  ...   34 days  None              72.171197              74.051850
3    133        96       97   74.080227  ...    1 days  None              73.241596              73.193801
4    137       119      141   71.466494  ...   31 days  None              69.039480              73.653068
5    134       143      144   73.393193  ...    1 days  None              73.795702              73.768818
6    139       168      171   70.734660  ...    5 days  None              70.235819              69.735480
7    138       178      189   70.869075  ...   18 days  None              69.157475              69.789529
8    140       190      191   69.527727  ...    1 days  None              69.818917              69.913739
9    138       192      198   70.979666  ...   10 days  None              70.090837              70.705708
10   137       201      203   71.388043  ...    4 days  None              70.661307              70.640132
11   138       205      206   70.465434  ...    2 days  None              70.590222              70.522161
12   143       219      220   67.758137  ...    1 days  None              67.699159              67.546400
13   141       221      244   68.968115  ...   32 days  None              67.477584              72.473991

[14 rows x 16 columns]",9432.T,8,8,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-04,2018-01-02,363 days,56.470588235294116,99951.73751590404,100494.53495213848,555.7284640571654,-0.04826248409596155,9.78829739740037,-0.047694825591737544,1.0431267190003892,-0.03350700722438704,-0.045722944991230495,-0.06323448605409353,-0.04283214565270387,-0.47085057840898586,0.043172788602158486,-1.1135287496092716,-0.2980054366538018,228 days,41 days,14,28.57142857142857,10.558612142807336,-2.978237801342395,-0.08377940280379637,68 days,14 days,0.9781167546032871,-0.026019223990947436,-0.0362666679931983,-0.008605044978769405,"FixedSmaStrategy(n_fast=8,n_slow=8)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2017-01-04  100000.000000     0.000000              NaT
2017-01-05  100000.000000     0.000000              NaT
2017-01-06  100000.000000     0.000000              NaT
2017-01-10  100000.000000     0.000000              NaT
2017-01-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2017-12-27   99951.737516     0.005401              NaT
2017-12-28   99951.737516     0.005401              NaT
2017-12-29   99951.737516     0.005401              NaT
2018-01-01   99951.737516     0.005401              NaT
2018-01-02   99951.737516     0.005401          33 days

[255 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ...  Duration   Tag Entry__calculat…(C,20)  Exit__calculat…(C,20)
0    134        27       28   74.110482  ...    1 days  None              74.819815              74.661006
1    135        40       60   73.550851  ...   29 days  None              72.621454              74.362867
2    133        64       65   74.845863  ...    1 days  None              74.522238              74.568092
3    132        66       68   75.320439  ...    2 days  None              74.611724              74.550892
4    133        69       70   74.417205  ...    1 days  None              74.503894              74.400983
5    135        77       78   73.468047  ...    1 days  None              73.881389              73.718348
6    130        83      108   75.718476  ...   35 days  None              73.689261              80.604351
7    120       112      123   82.362597  ...   17 days  None              80.782703              82.037276
8    120       135      140   82.653466  ...    7 days  None              82.017373              81.736451
9    121       142      151   81.964560  ...   13 days  None              81.753291              82.592995
10   121       161      162   81.581844  ...    1 days  None              82.016611              81.946955
11   119       165      168   82.775937  ...    5 days  None              81.808408              81.615514
12   122       185      233   80.619339  ...   68 days  None              79.514745              89.900442
13   110       235      237   90.776372  ...    2 days  None              89.990519              90.017699

[14 rows x 16 columns]",9432.T,8,8,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2018-12-31,362 days,53.66795366795367,97799.0903873547,100372.02152347667,509.55277797079725,-2.2009096126452934,-11.637727378723136,-2.142067325407282,1.327379877587833,-1.5372978703632967,-1.6137560630344427,-2.0066407741978285,-0.8356369304721447,-1.947623114418939,0.021764257744121877,-2.5633947558983405,-1.072379758202302,230 days,110 days,13,23.076923076923077,3.125933694108507,-5.009188088285844,-1.747098024214877,52 days,14 days,0.2035405015875365,-1.7163070853173534,-2.412047296825562,-0.9055586430161333,"FixedSmaStrategy(n_fast=8,n_slow=8)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-25   97799.090387     0.025634              NaT
2018-12-26   97799.090387     0.025634              NaT
2018-12-27   97799.090387     0.025634              NaT
2018-12-28   97799.090387     0.025634              NaT
2018-12-31   97799.090387     0.025634         230 days

[259 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ...  Duration   Tag Entry__calculat…(C,20)  Exit__calculat…(C,20)
0    122        22       23   81.659918  ...    3 days  None              81.850931              81.642820
1    127        39       58   78.351883  ...   27 days  None              76.434636              77.448782
2    127        64      102   77.672243  ...   52 days  None              77.532213              83.002057
3    121       116      120   81.804240  ...    6 days  None              81.824749              81.576355
4    120       121      123   82.340453  ...    4 days  None              81.595280              81.614206
5    121       126      127   81.583446  ...    1 days  None              81.637861              81.588182
6    123       137      145   80.006354  ...   12 days  None              80.244493              79.810004
7    122       147      159   80.936839  ...   18 days  None              79.896745              81.688331
8    118       160      164   83.586387  ...    6 days  None              81.813711              81.956438
9    125       182      200   78.366165  ...   26 days  None              77.746367              81.295260
10   120       206      208   82.019154  ...    4 days  None              81.217354              80.994923
11   134       228      240   73.475831  ...   16 days  None              73.293906              73.907808
12   128       245      250   76.120583  ...    7 days  None              74.260442              74.468015

[13 rows x 16 columns]",9432.T,8,8,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-04,2019-12-30,360 days,73.02904564315352,99987.04421112449,100319.02515316968,634.6242834882296,-0.012955788875508006,22.03789730790855,-0.013547091879972939,1.3806078475075914,-0.00906922846783953,-0.009812411181371652,-0.014372624761865037,-0.009773387511317653,-1.4986292851401293,0.0674144849441453,-1.3861204075132916,-0.7015858486150328,306 days,154 days,16,37.5,5.740330741948756,-3.121480256088935,-0.03196306309337649,55 days,15 days,0.9952946860282104,-0.004219545437607114,-0.013395243468755716,-0.0034514139885920003,"FixedSmaStrategy(n_fast=8,n_slow=8)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
2019-01-10  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-24   99987.044211     0.003309              NaT
2019-12-25   99987.044211     0.003309              NaT
2019-12-26   99987.044211     0.003309              NaT
2019-12-27   99987.044211     0.003309              NaT
2019-12-30   99987.044211     0.003309         306 days

[241 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ...  Duration   Tag Entry__calculat…(C,20)  Exit__calculat…(C,20)
0    133        31       44   74.934463  ...   19 days  None              74.512894              75.547549
1    130        45       47   76.489243  ...    2 days  None              75.691808              75.920218
2    129        48       54   76.873929  ...   11 days  None              76.085314              76.623078
3    127        55       57   78.487025  ...    2 days  None              76.692113              76.631777
4    127        58       60   78.029279  ...    2 days  None              76.682012              76.634869
5    128        70       71   77.375355  ...    1 days  None              76.270788              76.258789
6    130        72       73   76.034811  ...    3 days  None              76.149276              76.074050
7    128        79       99   77.097440  ...   28 days  None              75.654723              79.751545
8    123       100      115   80.514178  ...   21 days  None              79.966521              81.424768
9    120       116      130   82.198026  ...   21 days  None              81.548196              83.214063
10   119       131      132   82.819259  ...    1 days  None              83.268012              83.358745
11   118       133      135   83.930939  ...    2 days  None              83.478904              83.596610
12   120       150      156   82.001871  ...    8 days  None              81.304612              80.837056
13   119       158      192   82.492295  ...   53 days  None              81.006259              88.104900
14   114       193      196   87.018565  ...    5 days  None              88.269536              88.407305
15   111       198      236   89.015562  ...   55 days  None              88.689380              92.976234

[16 rows x 16 columns]",9432.T,8,8,2014-01-03,2019-01-02,2019-01-03,2020-01-02
